FCTLOG	SerialNumber	CUS	TestTime	Column1	Status	TEXT1	TEXT2	TEXT3	TEXT4	OPNAME	TestTime
FCTLOG	3ABD00045053W2251534SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251602SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251608SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251609SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251611SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251612SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251613SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251614SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251615SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251616SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251618SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251623SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251626SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251629SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251635SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251636SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251640SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251668SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251692SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251700SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251701SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251703SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251706SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251707SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251709SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251711SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251712SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251714SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251728SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251757SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2251760SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251796SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251808SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2251967SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252212SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252215SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252221SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252222SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252231SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252233SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252234SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252282SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252283SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252284SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252287SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252288SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252290SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252295SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252302SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252303SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2252304SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252307SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252309SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252320SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2252345SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
