FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE,CRITERIA,TESTDURATION,FIXTURE_ID,OPERATOR,WORKORDER,SYMPTOM
COATINGLOG,69025790F2512026SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512027SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512028SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512029SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512030SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512031SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512032SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512033SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512034SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512035SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512036SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512037SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512038SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512039SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512040SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512041SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512042SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512043SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512044SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512045SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512046SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512047SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512048SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512049SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512050SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512051SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512052SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512053SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512054SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512055SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512056SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512057SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512058SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512059SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512060SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512061SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512062SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512063SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512064SB,ABF,,COATING,P,,,,,COATING,,,,,,,
COATINGLOG,69025790F2512065SB,ABF,,COATING,P,,,,,COATING,,,,,,,
